BIDGBPUSD;BIDUSDJPY;ASKGBPJPY
1.2495;102.23;127.823
1.2496;102.23;127.83
1.2495;102.23;127.824
1.2496;102.24;127.825
1.2496;102.22;127.807
1.2497;102.21;127.809
1.2497;102.21;127.825
1.2498;102.21;127.818
1.2498;102.22;127.831
1.2497;102.22;127.824
1.2497;102.22;127.821
1.2497;102.21;127.802
1.2498;102.21;127.797
1.2498;102.22;127.82
1.2497;102.22;127.801
1.2497;102.22;127.811
1.2497;102.21;127.807
1.2497;102.21;127.811
1.2497;102.2;127.786
1.2497;102.19;127.775
1.2498;102.18;127.764
1.2498;102.18;127.767
1.2498;102.18;127.768
1.2498;102.18;127.766
1.2497;102.18;127.766
1.2498;102.18;127.76
1.2499;102.16;127.751
1.2499;102.17;127.763
1.25;102.14;127.736
1.2501;102.1;127.7
1.25;102.11;127.723
1.25;102.11;127.717
1.25;102.11;127.71
1.2501;102.11;127.717
1.2501;102.11;127.721
1.25;102.12;127.727
1.25;102.12;127.726
1.25;102.14;127.743
1.25;102.15;127.756
1.25;102.14;127.743
1.2499;102.14;127.747
1.25;102.14;127.749
1.2499;102.14;127.748
1.2499;102.15;127.763
1.25;102.14;127.742
1.25;102.11;127.712
1.25;102.11;127.706
1.2499;102.11;127.706
1.2499;102.09;127.69
1.2499;102.08;127.665
1.2499;102.09;127.676
1.2499;102.08;127.678
1.2499;102.08;127.673
1.25;102.08;127.676
1.25;102.08;127.678
1.2501;102.08;127.68
1.2501;102.08;127.688
1.2501;102.08;127.688
1.2501;102.05;127.656
1.2501;102.05;127.658
1.2502;102.07;127.677
1.2501;102.08;127.685
